chore_difficulty,zain_pts,jasmine_pts,justin_pts,chloe_pts,assigned_to
40.0,110.0,140.0,60.0,130.0,2
10.0,110.0,140.0,100.0,130.0,2
60.0,110.0,140.0,110.0,130.0,3
70.0,170.0,140.0,110.0,130.0,2
55.14473684210526,170.0,140.0,180.0,130.0,0
60.0,170.0,140.0,180.0,190.0,1
60.0,170.0,200.0,180.0,190.0,3
50.0,0.0,0.0,0.0,0.0,3
70.0,50.0,0.0,0.0,0.0,1
70.0,50.0,70.0,0.0,0.0,2
100.0,50.0,70.0,70.0,0.0,0
20.0,50.0,70.0,70.0,100.0,3
30.0,70.0,70.0,70.0,100.0,3
80.0,100.0,70.0,260.3263157894737,100.0,1
40.0,100.0,150.0,70.0,100.0,2
20.0,100.0,150.0,110.0,100.0,3
60.0,0.0,0.0,0.0,0.0,3
80.0,60.0,0.0,0.0,0.0,1
30.0,60.0,80.0,0.0,0.0,2
30.0,60.0,80.0,30.0,0.0,0
55.14473684210526,60.0,80.0,30.0,30.0,2
70.0,60.0,80.0,60.0,30.0,0
70.0,60.0,80.0,60.0,100.0,3
50.0,130.0,80.0,60.0,100.0,2
10.0,130.0,80.0,110.0,100.0,1
90.0,130.0,90.0,110.0,100.0,1
30.0,130.0,180.0,110.0,100.0,0
50.0,130.0,180.0,110.0,130.0,2
40.0,130.0,180.0,260.3263157894737,130.0,3
10.0,170.0,180.0,160.0,130.0,0
10.0,170.0,180.0,160.0,140.0,0
100.0,170.0,180.0,160.0,150.0,0
100.0,170.0,180.0,160.0,250.0,2
50.0,170.0,180.0,260.0,250.0,3
10.0,220.0,180.0,260.0,250.0,1
90.0,220.0,190.0,260.0,250.0,1
80.0,220.0,280.0,260.0,250.0,3
70.0,300.0,280.0,260.0,250.0,0
55.14473684210526,300.0,280.0,260.0,320.0,2
20.0,300.0,280.0,300.0,320.0,1
70.0,300.0,300.0,300.0,320.0,3
90.0,370.0,300.0,300.0,320.0,1
80.0,370.0,390.0,300.0,320.0,2
80.0,370.0,390.0,380.0,320.0,0
30.0,370.0,390.0,380.0,400.0,3
50.0,400.0,390.0,380.0,400.0,2
80.0,400.0,390.0,430.0,400.0,1
20.0,400.0,470.0,430.0,400.0,3
90.0,0.0,0.0,0.0,0.0,3
60.0,90.0,0.0,0.0,0.0,1
40.0,90.0,60.0,0.0,0.0,2
55.14473684210526,90.0,60.0,40.0,0.0,0
80.0,0.0,0.0,0.0,0.0,3
50.0,80.0,0.0,0.0,0.0,1
70.0,80.0,50.0,0.0,0.0,2
100.0,80.0,50.0,70.0,0.0,0
60.0,80.0,50.0,70.0,100.0,1
40.0,80.0,110.0,70.0,100.0,2
80.0,80.0,110.0,110.0,100.0,3
60.0,160.0,110.0,110.0,100.0,0
30.0,160.0,110.0,110.0,160.0,1
30.0,160.0,140.0,110.0,160.0,2
40.0,160.0,140.0,260.3263157894737,160.0,1
80.0,160.0,180.0,140.0,160.0,2
90.0,160.0,180.0,220.0,160.0,3
100.0,250.0,180.0,220.0,160.0,0
10.0,250.0,180.0,220.0,260.0,1
70.0,250.0,190.0,220.0,260.0,1
50.0,250.0,260.0,220.0,260.0,2
50.0,250.0,260.0,270.0,260.0,3
20.0,300.0,260.0,270.0,260.0,1
80.0,0.0,0.0,0.0,0.0,3
70.0,80.0,0.0,0.0,0.0,1
40.0,80.0,70.0,0.0,0.0,2
10.0,80.0,70.0,40.0,0.0,0
20.0,80.0,70.0,40.0,10.0,0
55.14473684210526,80.0,70.0,40.0,30.0,0
60.0,80.0,70.0,40.0,80.0,2
100.0,80.0,70.0,100.0,80.0,1
20.0,80.0,170.0,100.0,80.0,3
55.14473684210526,100.0,170.0,100.0,80.0,0
70.0,100.0,170.0,100.0,160.0,3
10.0,170.0,170.0,100.0,160.0,2
70.0,170.0,170.0,110.0,160.0,2
100.0,0.0,0.0,0.0,0.0,3
70.0,100.0,0.0,0.0,0.0,1
20.0,100.0,70.0,0.0,0.0,2
90.0,100.0,70.0,20.0,0.0,0
10.0,100.0,70.0,20.0,90.0,2
90.0,100.0,70.0,30.0,90.0,2
20.0,100.0,70.0,120.0,90.0,1
80.0,100.0,90.0,120.0,90.0,1
80.0,100.0,170.0,120.0,90.0,0
20.0,100.0,170.0,120.0,170.0,3
90.0,120.0,170.0,120.0,170.0,3
10.0,210.0,170.0,120.0,170.0,2
30.0,210.0,170.0,130.0,170.0,2
10.0,210.0,170.0,160.0,170.0,2
40.0,210.0,170.0,260.3263157894737,170.0,1
20.0,210.0,210.0,170.0,170.0,2
20.0,210.0,210.0,190.0,170.0,0
40.0,210.0,210.0,190.0,190.0,2
70.0,210.0,210.0,230.0,190.0,0
55.14473684210526,210.0,210.0,230.0,260.0,3
60.0,300.0,210.0,230.0,260.0,1
20.0,300.0,270.0,230.0,260.0,2
70.0,300.0,270.0,250.0,260.0,2
50.0,300.0,270.0,320.0,260.0,0
20.0,300.0,270.0,320.0,310.0,1
50.0,300.0,290.0,320.0,310.0,1
55.14473684210526,300.0,340.0,320.0,310.0,3
55.14473684210526,330.0,340.0,320.0,310.0,0
70.0,330.0,340.0,320.0,400.0,2
10.0,330.0,340.0,390.0,400.0,3
100.0,340.0,340.0,390.0,400.0,3
60.0,440.0,340.0,390.0,400.0,1
50.0,440.0,400.0,390.0,400.0,2
10.0,440.0,400.0,440.0,400.0,1
90.0,440.0,410.0,440.0,400.0,0
55.14473684210526,440.0,410.0,440.0,490.0,1
20.0,440.0,430.0,440.0,490.0,1
30.0,440.0,450.0,440.0,490.0,3
40.0,470.0,450.0,440.0,490.0,2
40.0,470.0,450.0,480.0,490.0,1
80.0,470.0,490.0,480.0,490.0,3
90.0,550.0,490.0,480.0,490.0,2
20.0,550.0,490.0,570.0,490.0,1
70.0,550.0,510.0,570.0,490.0,0
70.0,0.0,0.0,0.0,0.0,3
70.0,70.0,0.0,0.0,0.0,1
80.0,70.0,70.0,0.0,0.0,2
100.0,70.0,70.0,80.0,0.0,0
40.0,70.0,70.0,80.0,100.0,3
50.0,110.0,70.0,80.0,100.0,1
80.0,110.0,120.0,80.0,100.0,2
80.0,110.0,120.0,160.0,100.0,0
10.0,110.0,120.0,160.0,180.0,3
40.0,120.0,120.0,160.0,180.0,3
40.0,160.0,120.0,160.0,180.0,1
20.0,160.0,160.0,160.0,180.0,3
55.14473684210526,180.0,160.0,260.3263157894737,180.0,1
30.0,180.0,260.0,160.0,180.0,2
40.0,180.0,260.0,190.0,180.0,3
30.0,220.0,260.0,190.0,180.0,0
90.0,220.0,260.0,190.0,210.0,2
20.0,220.0,260.0,280.0,210.0,0
90.0,220.0,260.0,280.0,230.0,3
100.0,310.0,260.0,280.0,230.0,0
50.0,310.0,260.0,280.0,330.0,1
40.0,310.0,310.0,280.0,330.0,2
50.0,310.0,310.0,320.0,330.0,3
50.0,360.0,310.0,320.0,330.0,1
20.0,360.0,360.0,320.0,330.0,2
80.0,360.0,360.0,340.0,330.0,0
60.0,360.0,360.0,340.0,410.0,2
90.0,360.0,360.0,400.0,410.0,3
55.14473684210526,450.0,360.0,400.0,410.0,1
50.0,450.0,370.0,400.0,410.0,1
20.0,450.0,420.0,400.0,410.0,2
50.0,0.0,0.0,0.0,0.0,3
40.0,50.0,0.0,0.0,0.0,1
100.0,50.0,40.0,0.0,0.0,2
100.0,50.0,40.0,100.0,0.0,0
10.0,50.0,40.0,100.0,100.0,1
70.0,50.0,50.0,100.0,100.0,3
40.0,120.0,50.0,260.3263157894737,100.0,1
70.0,120.0,90.0,100.0,100.0,1
90.0,120.0,160.0,100.0,100.0,2
50.0,120.0,160.0,190.0,100.0,0
90.0,120.0,160.0,190.0,150.0,3
10.0,210.0,160.0,190.0,150.0,0
100.0,210.0,160.0,190.0,160.0,1
70.0,210.0,260.0,260.3263157894737,160.0,0
70.0,210.0,260.0,190.0,230.0,2
40.0,210.0,260.0,260.0,230.0,3
40.0,250.0,260.0,260.0,230.0,0
70.0,250.0,260.0,260.0,270.0,3
20.0,320.0,260.0,260.3263157894737,270.0,1
20.0,320.0,280.0,260.0,270.0,2
20.0,320.0,280.0,280.0,270.0,0
100.0,320.0,280.0,280.0,290.0,1
40.0,320.0,380.0,280.0,290.0,2
80.0,320.0,380.0,320.0,290.0,0
60.0,320.0,380.0,320.0,370.0,3
10.0,380.0,380.0,320.0,370.0,2
70.0,380.0,380.0,330.0,370.0,2
60.0,380.0,380.0,400.0,370.0,0
80.0,380.0,380.0,400.0,430.0,3
10.0,460.0,380.0,400.0,430.0,1
55.14473684210526,460.0,390.0,400.0,430.0,1
100.0,460.0,470.0,400.0,430.0,2
10.0,460.0,470.0,500.0,430.0,0
100.0,460.0,470.0,500.0,440.0,0
55.14473684210526,460.0,470.0,500.0,540.0,3
100.0,480.0,470.0,500.0,540.0,1
60.0,480.0,570.0,500.0,540.0,3
50.0,540.0,570.0,500.0,540.0,2
55.14473684210526,540.0,570.0,550.0,540.0,3
100.0,570.0,570.0,550.0,540.0,0
10.0,570.0,570.0,550.0,640.0,2
40.0,570.0,570.0,560.0,640.0,2
40.0,570.0,570.0,600.0,640.0,3
100.0,610.0,570.0,600.0,640.0,1
60.0,610.0,670.0,600.0,640.0,2
70.0,610.0,670.0,660.0,640.0,3
30.0,680.0,670.0,660.0,640.0,0
30.0,0.0,0.0,0.0,0.0,3
30.0,30.0,0.0,0.0,0.0,1
20.0,30.0,30.0,0.0,0.0,2
90.0,30.0,30.0,20.0,0.0,0
10.0,30.0,30.0,20.0,90.0,2
60.0,30.0,30.0,30.0,90.0,3
10.0,90.0,30.0,30.0,90.0,1
20.0,90.0,40.0,30.0,90.0,2
70.0,90.0,40.0,50.0,90.0,1
40.0,90.0,110.0,50.0,90.0,2
10.0,90.0,110.0,90.0,90.0,3
90.0,100.0,110.0,90.0,90.0,2
20.0,100.0,110.0,180.0,90.0,0
90.0,100.0,110.0,180.0,110.0,3
40.0,190.0,110.0,180.0,110.0,1
100.0,190.0,150.0,180.0,110.0,0
55.14473684210526,190.0,150.0,180.0,210.0,1
60.0,190.0,240.0,180.0,210.0,2
20.0,190.0,240.0,240.0,210.0,3
90.0,210.0,240.0,240.0,210.0,3
70.0,300.0,240.0,240.0,210.0,0
20.0,300.0,240.0,240.0,280.0,1
60.0,300.0,260.0,240.0,280.0,2
40.0,300.0,260.0,300.0,280.0,1
20.0,300.0,300.0,300.0,280.0,0
40.0,300.0,300.0,300.0,300.0,3
40.0,340.0,300.0,300.0,300.0,1
100.0,340.0,340.0,300.0,300.0,2
90.0,340.0,340.0,400.0,300.0,0
10.0,340.0,340.0,400.0,390.0,3
80.0,350.0,340.0,400.0,390.0,1
10.0,350.0,420.0,260.3263157894737,390.0,3
30.0,360.0,420.0,400.0,390.0,3
70.0,390.0,420.0,400.0,390.0,3
55.14473684210526,460.0,420.0,400.0,390.0,0
50.0,460.0,420.0,400.0,450.0,2
80.0,0.0,0.0,0.0,0.0,3
60.0,80.0,0.0,0.0,0.0,1
60.0,80.0,60.0,260.3263157894737,0.0,2
20.0,80.0,60.0,60.0,0.0,0
30.0,80.0,60.0,60.0,20.0,0
55.14473684210526,80.0,60.0,60.0,50.0,0
70.0,80.0,60.0,60.0,140.0,1
20.0,80.0,130.0,60.0,140.0,2
30.0,80.0,130.0,80.0,140.0,3
10.0,110.0,130.0,80.0,140.0,2
50.0,110.0,130.0,90.0,140.0,2
100.0,110.0,130.0,140.0,140.0,3
70.0,210.0,130.0,140.0,140.0,1
55.14473684210526,210.0,200.0,140.0,140.0,2
30.0,210.0,200.0,170.0,140.0,0
70.0,210.0,200.0,170.0,170.0,2
80.0,210.0,200.0,240.0,170.0,0
50.0,210.0,200.0,240.0,250.0,1
100.0,210.0,250.0,240.0,250.0,3
10.0,310.0,250.0,240.0,250.0,2
80.0,310.0,250.0,250.0,250.0,1
60.0,310.0,330.0,250.0,250.0,2
20.0,310.0,330.0,310.0,250.0,0
30.0,310.0,330.0,310.0,270.0,0
70.0,310.0,330.0,310.0,300.0,0
60.0,310.0,330.0,310.0,370.0,3
60.0,370.0,330.0,310.0,370.0,2
40.0,370.0,330.0,370.0,370.0,1
55.14473684210526,370.0,370.0,260.3263157894737,370.0,3
60.0,430.0,370.0,260.3263157894737,370.0,1
50.0,0.0,0.0,0.0,0.0,3
55.14473684210526,50.0,0.0,0.0,0.0,1
100.0,50.0,30.0,0.0,0.0,2
10.0,50.0,30.0,100.0,0.0,0
100.0,50.0,30.0,100.0,10.0,0
100.0,50.0,30.0,100.0,110.0,1
40.0,0.0,0.0,0.0,0.0,3
90.0,40.0,0.0,0.0,0.0,1
70.0,40.0,90.0,0.0,0.0,2
10.0,40.0,90.0,70.0,0.0,0
20.0,40.0,90.0,70.0,10.0,0
90.0,40.0,90.0,70.0,30.0,0
80.0,40.0,90.0,260.3263157894737,120.0,3
70.0,120.0,90.0,70.0,120.0,2
10.0,120.0,90.0,140.0,120.0,1
60.0,120.0,100.0,140.0,120.0,1
100.0,120.0,160.0,140.0,120.0,3
70.0,220.0,160.0,140.0,120.0,0
80.0,220.0,160.0,140.0,190.0,2
55.14473684210526,220.0,160.0,220.0,190.0,1
80.0,220.0,180.0,220.0,190.0,1
40.0,220.0,260.0,220.0,190.0,0
20.0,220.0,260.0,220.0,230.0,3
40.0,240.0,260.0,220.0,230.0,2
10.0,240.0,260.0,260.0,230.0,0
30.0,240.0,260.0,260.0,240.0,3
20.0,270.0,260.0,260.0,240.0,0
10.0,270.0,260.0,260.0,260.0,1
70.0,270.0,270.0,260.0,260.0,2
50.0,270.0,270.0,330.0,260.0,0
20.0,270.0,270.0,330.0,310.0,3
10.0,290.0,270.0,330.0,310.0,1
50.0,290.0,280.0,330.0,310.0,1
100.0,290.0,330.0,330.0,310.0,3
30.0,390.0,330.0,330.0,310.0,0
30.0,390.0,330.0,330.0,340.0,1
20.0,390.0,360.0,330.0,340.0,2
30.0,390.0,360.0,350.0,340.0,0
10.0,390.0,360.0,350.0,370.0,2
40.0,390.0,360.0,360.0,370.0,1
90.0,390.0,400.0,360.0,370.0,2
50.0,390.0,400.0,450.0,370.0,0
40.0,390.0,400.0,450.0,420.0,3
90.0,430.0,400.0,450.0,420.0,1
90.0,430.0,490.0,260.3263157894737,420.0,0
20.0,430.0,490.0,450.0,510.0,3
80.0,450.0,490.0,450.0,510.0,3
10.0,530.0,490.0,450.0,510.0,2
70.0,530.0,490.0,460.0,510.0,2
60.0,0.0,0.0,0.0,0.0,3
10.0,60.0,0.0,0.0,0.0,1
90.0,60.0,10.0,0.0,0.0,2
20.0,60.0,10.0,90.0,0.0,0
40.0,60.0,10.0,90.0,20.0,1
30.0,60.0,50.0,90.0,20.0,0
80.0,60.0,50.0,90.0,50.0,1
50.0,60.0,130.0,90.0,50.0,0
60.0,60.0,130.0,90.0,100.0,3
60.0,120.0,130.0,90.0,100.0,2
90.0,120.0,130.0,150.0,100.0,0
70.0,120.0,130.0,150.0,190.0,3
50.0,190.0,130.0,150.0,190.0,1
10.0,190.0,180.0,150.0,190.0,2
20.0,190.0,180.0,260.3263157894737,190.0,2
100.0,190.0,180.0,180.0,190.0,1
20.0,190.0,280.0,180.0,190.0,2
40.0,190.0,280.0,200.0,190.0,3
50.0,230.0,280.0,260.3263157894737,190.0,0
30.0,230.0,280.0,200.0,240.0,2
70.0,230.0,280.0,230.0,240.0,3
20.0,300.0,280.0,230.0,240.0,2
60.0,300.0,280.0,260.3263157894737,240.0,0
60.0,300.0,280.0,250.0,300.0,2
10.0,300.0,280.0,310.0,300.0,1
90.0,300.0,290.0,310.0,300.0,1
10.0,300.0,380.0,310.0,300.0,3
60.0,310.0,380.0,310.0,300.0,0
10.0,310.0,380.0,310.0,360.0,3
60.0,320.0,380.0,310.0,360.0,2
70.0,0.0,0.0,0.0,0.0,3
40.0,70.0,0.0,0.0,0.0,1
10.0,70.0,40.0,0.0,0.0,2
100.0,0.0,0.0,0.0,0.0,3
30.0,100.0,0.0,0.0,0.0,1
40.0,100.0,30.0,0.0,0.0,2
30.0,100.0,30.0,40.0,0.0,0
80.0,100.0,30.0,40.0,30.0,1
90.0,100.0,110.0,40.0,30.0,0
100.0,100.0,110.0,40.0,120.0,2
55.14473684210526,100.0,110.0,140.0,120.0,3
100.0,200.0,110.0,140.0,120.0,1
100.0,200.0,210.0,140.0,120.0,0
100.0,200.0,210.0,140.0,220.0,2
70.0,200.0,210.0,240.0,220.0,3
30.0,270.0,210.0,240.0,220.0,1
80.0,270.0,240.0,240.0,220.0,0
20.0,270.0,240.0,240.0,300.0,1
60.0,270.0,260.0,240.0,300.0,2
60.0,270.0,260.0,300.0,300.0,1
100.0,270.0,320.0,300.0,300.0,3
30.0,370.0,320.0,260.3263157894737,300.0,2
80.0,370.0,320.0,330.0,300.0,0
60.0,370.0,320.0,330.0,380.0,1
100.0,370.0,380.0,330.0,380.0,2
100.0,370.0,380.0,430.0,380.0,3
20.0,470.0,380.0,430.0,380.0,1
10.0,470.0,400.0,430.0,380.0,0
40.0,470.0,400.0,430.0,390.0,0
50.0,470.0,400.0,430.0,430.0,1
90.0,470.0,450.0,430.0,430.0,2
40.0,470.0,450.0,520.0,430.0,0
30.0,0.0,0.0,0.0,0.0,3
80.0,30.0,0.0,0.0,0.0,1
30.0,30.0,80.0,0.0,0.0,2
20.0,30.0,80.0,30.0,0.0,0
55.14473684210526,30.0,80.0,30.0,20.0,0
60.0,30.0,80.0,30.0,100.0,3
80.0,90.0,80.0,30.0,100.0,2
80.0,90.0,80.0,110.0,100.0,1
60.0,90.0,160.0,110.0,100.0,3
80.0,150.0,160.0,110.0,100.0,0
30.0,150.0,160.0,110.0,180.0,2
50.0,150.0,160.0,140.0,180.0,2
55.14473684210526,150.0,160.0,190.0,180.0,3
60.0,190.0,160.0,190.0,180.0,1
30.0,190.0,220.0,190.0,180.0,0
80.0,190.0,220.0,190.0,210.0,3
30.0,270.0,220.0,190.0,210.0,2
50.0,270.0,220.0,220.0,210.0,0
90.0,270.0,220.0,220.0,260.0,1
20.0,270.0,310.0,220.0,260.0,2
60.0,270.0,310.0,240.0,260.0,2
50.0,270.0,310.0,300.0,260.0,0
20.0,0.0,0.0,260.3263157894737,0.0,3
90.0,20.0,0.0,0.0,0.0,1
80.0,20.0,90.0,0.0,0.0,2
30.0,20.0,90.0,80.0,0.0,0
20.0,20.0,90.0,80.0,30.0,3
60.0,40.0,90.0,80.0,30.0,0
80.0,0.0,0.0,0.0,0.0,3
70.0,80.0,0.0,0.0,0.0,1
100.0,0.0,0.0,0.0,0.0,3
90.0,100.0,0.0,0.0,0.0,1
50.0,100.0,90.0,0.0,0.0,2
10.0,100.0,90.0,50.0,0.0,0
50.0,100.0,90.0,50.0,10.0,0
30.0,100.0,90.0,50.0,60.0,2
55.14473684210526,100.0,90.0,80.0,60.0,0
20.0,0.0,0.0,0.0,0.0,3
60.0,20.0,0.0,0.0,0.0,1
90.0,20.0,60.0,0.0,0.0,2
70.0,20.0,60.0,90.0,0.0,0
50.0,20.0,60.0,90.0,70.0,3
100.0,70.0,60.0,90.0,70.0,1
50.0,70.0,160.0,260.3263157894737,70.0,3
40.0,120.0,160.0,90.0,70.0,0
80.0,120.0,160.0,90.0,110.0,2
80.0,120.0,160.0,170.0,110.0,0
90.0,120.0,160.0,170.0,190.0,3
80.0,210.0,160.0,170.0,190.0,1
90.0,210.0,240.0,170.0,190.0,2
30.0,210.0,240.0,260.0,190.0,0
10.0,210.0,240.0,260.0,220.0,3
40.0,220.0,240.0,260.0,220.0,3
70.0,260.0,240.0,260.0,220.0,0
70.0,260.0,240.0,260.0,290.0,1
20.0,260.0,310.0,260.0,290.0,3
70.0,280.0,310.0,260.0,290.0,2
10.0,280.0,310.0,330.0,290.0,3
40.0,290.0,310.0,330.0,290.0,3
30.0,330.0,310.0,330.0,290.0,0
30.0,330.0,310.0,330.0,320.0,1
10.0,330.0,340.0,330.0,320.0,0
70.0,330.0,340.0,330.0,330.0,3
30.0,400.0,340.0,330.0,330.0,2
100.0,400.0,340.0,360.0,330.0,0
20.0,400.0,340.0,360.0,430.0,1
80.0,0.0,0.0,0.0,0.0,3
50.0,80.0,0.0,0.0,0.0,1
70.0,80.0,50.0,0.0,0.0,2
20.0,80.0,50.0,70.0,0.0,0
40.0,80.0,50.0,70.0,20.0,0
100.0,80.0,50.0,70.0,60.0,1
40.0,80.0,150.0,70.0,60.0,0
40.0,80.0,150.0,70.0,100.0,2
70.0,80.0,150.0,110.0,100.0,3
20.0,150.0,150.0,110.0,100.0,0
20.0,150.0,150.0,110.0,120.0,2
40.0,150.0,150.0,130.0,120.0,0
70.0,150.0,150.0,130.0,160.0,2
30.0,150.0,150.0,200.0,160.0,3
30.0,180.0,150.0,200.0,160.0,1
20.0,180.0,180.0,200.0,160.0,0
60.0,180.0,180.0,200.0,180.0,3
90.0,240.0,180.0,200.0,180.0,1
60.0,240.0,270.0,200.0,180.0,0
70.0,0.0,0.0,0.0,0.0,3
100.0,70.0,0.0,0.0,0.0,1
70.0,70.0,100.0,0.0,0.0,2
80.0,70.0,100.0,70.0,0.0,0
80.0,70.0,100.0,70.0,80.0,3
70.0,150.0,100.0,70.0,80.0,2
20.0,150.0,100.0,140.0,80.0,0
40.0,150.0,100.0,140.0,100.0,1
40.0,150.0,140.0,260.3263157894737,100.0,0
10.0,150.0,140.0,140.0,140.0,1
100.0,150.0,150.0,140.0,140.0,2
70.0,150.0,150.0,240.0,140.0,0
40.0,150.0,150.0,240.0,210.0,3
100.0,190.0,150.0,240.0,210.0,1
30.0,190.0,250.0,240.0,210.0,3
50.0,220.0,250.0,240.0,210.0,0
100.0,220.0,250.0,240.0,260.0,3
30.0,320.0,250.0,240.0,260.0,2
50.0,320.0,250.0,270.0,260.0,1
90.0,320.0,300.0,270.0,260.0,0
20.0,320.0,300.0,270.0,350.0,2
30.0,320.0,300.0,290.0,350.0,2
60.0,320.0,300.0,320.0,350.0,1
60.0,320.0,360.0,320.0,350.0,3
40.0,380.0,360.0,320.0,350.0,2
50.0,380.0,360.0,360.0,350.0,0
40.0,380.0,360.0,360.0,400.0,1
50.0,380.0,400.0,360.0,400.0,2
60.0,380.0,400.0,410.0,400.0,3
100.0,440.0,400.0,410.0,400.0,1
30.0,440.0,500.0,410.0,400.0,0
20.0,0.0,0.0,0.0,0.0,3
100.0,20.0,0.0,0.0,0.0,1
10.0,0.0,0.0,0.0,0.0,3
60.0,0.0,0.0,0.0,0.0,3
20.0,60.0,0.0,0.0,0.0,1
30.0,60.0,20.0,0.0,0.0,2
50.0,60.0,20.0,30.0,0.0,0
80.0,60.0,20.0,30.0,50.0,1
60.0,60.0,100.0,30.0,50.0,2
70.0,60.0,100.0,90.0,50.0,0
50.0,60.0,100.0,90.0,120.0,3
20.0,110.0,100.0,90.0,120.0,2
70.0,110.0,100.0,110.0,120.0,1
50.0,110.0,170.0,110.0,120.0,3
20.0,160.0,170.0,110.0,120.0,2
40.0,160.0,170.0,130.0,120.0,0
40.0,0.0,0.0,0.0,0.0,3
40.0,0.0,0.0,0.0,0.0,3
10.0,40.0,0.0,0.0,0.0,1
100.0,40.0,10.0,0.0,0.0,2
50.0,40.0,10.0,260.3263157894737,0.0,0
90.0,40.0,10.0,100.0,50.0,1
30.0,40.0,100.0,100.0,50.0,3
20.0,70.0,100.0,100.0,50.0,0
50.0,70.0,100.0,100.0,70.0,3
55.14473684210526,120.0,100.0,100.0,70.0,0
50.0,120.0,100.0,100.0,130.0,1
20.0,120.0,150.0,100.0,130.0,2
90.0,120.0,150.0,120.0,130.0,3
100.0,210.0,150.0,120.0,130.0,2
100.0,0.0,0.0,0.0,0.0,3
20.0,100.0,0.0,0.0,0.0,1
70.0,100.0,20.0,260.3263157894737,0.0,2
40.0,0.0,0.0,0.0,0.0,3
40.0,40.0,0.0,0.0,0.0,1
60.0,40.0,40.0,0.0,0.0,2
90.0,40.0,40.0,60.0,0.0,0
70.0,40.0,40.0,60.0,90.0,3
80.0,110.0,40.0,60.0,90.0,1
20.0,110.0,120.0,60.0,90.0,2
50.0,110.0,120.0,80.0,90.0,2
90.0,110.0,120.0,130.0,90.0,0
10.0,110.0,120.0,130.0,180.0,3
55.14473684210526,120.0,120.0,130.0,180.0,3
70.0,200.0,120.0,130.0,180.0,1
40.0,200.0,190.0,130.0,180.0,2
60.0,200.0,190.0,170.0,180.0,2
30.0,200.0,190.0,230.0,180.0,0
55.14473684210526,200.0,190.0,230.0,210.0,1
20.0,200.0,230.0,230.0,210.0,3
80.0,220.0,230.0,230.0,210.0,0
55.14473684210526,220.0,230.0,230.0,290.0,3
70.0,0.0,0.0,0.0,0.0,3
50.0,70.0,0.0,0.0,0.0,1
50.0,70.0,50.0,260.3263157894737,0.0,2
80.0,70.0,50.0,50.0,0.0,0
30.0,70.0,50.0,50.0,80.0,1
30.0,70.0,80.0,50.0,80.0,2
90.0,70.0,80.0,80.0,80.0,3
10.0,160.0,80.0,80.0,80.0,1
30.0,160.0,90.0,80.0,80.0,2
40.0,160.0,90.0,110.0,80.0,0
55.14473684210526,160.0,90.0,110.0,120.0,1
